trading_date,symbol,snapshot_count,ok_count,error_count,unassessable_count,coherent_count,transitional_conflict_count,persistent_conflict_count,hard_contract_failure_count,transitional_conflict_incidents,persistent_conflict_incidents,transition_explained_incidents,unresolved_conflict_incidents,unresolved_transitional_conflict_incidents,unresolved_persistent_conflict_incidents,hard_failure_incidents,directional_start_conflicts,directional_maturity_conflicts,lineage_anomalies,episode_count,event_count,max_opposite_evidence_streak,finding_codes,review_priority,needs_review,detail_file
2026-08-03,360ONE,120,120,0,0,68,48,4,0,4,3,4,3,2,1,0,0,0,0,9,47,4,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P2,True,
2026-08-03,ABB,120,120,0,0,73,43,4,0,5,1,2,4,4,0,0,0,1,0,8,60,6,DIRECTIONAL_MATURITY_CONFLICT|EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P2,True,
2026-08-03,ABCAPITAL,120,120,0,0,74,44,2,0,6,1,6,1,0,1,0,1,0,0,13,80,4,DIRECTIONAL_START_CONFLICT|EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P2,True,
2026-08-03,ADANIGREEN,120,120,0,0,71,44,5,0,6,2,4,4,4,0,0,1,0,0,9,40,5,DIRECTIONAL_START_CONFLICT|EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P2,True,
2026-08-03,ADANIPORTS,120,120,0,0,91,29,0,0,4,0,3,1,1,0,0,0,0,0,6,34,2,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE,P3,False,
2026-08-03,AMBER,120,120,0,0,98,18,4,0,2,3,2,3,1,2,0,1,2,0,4,24,4,DIRECTIONAL_MATURITY_CONFLICT|DIRECTIONAL_START_CONFLICT|EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P2,True,
2026-08-03,ANGELONE,120,120,0,0,83,36,1,0,6,1,5,2,2,0,0,0,0,0,11,56,3,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE|PERSISTENT_OPPOSITE_EVIDENCE,P3,False,
2026-08-03,ASTRAL,120,120,0,0,104,16,0,0,3,0,2,1,1,0,0,0,0,0,3,30,2,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE,P3,False,
2026-08-03,AUBANK,120,120,0,0,102,18,0,0,2,0,2,0,0,0,0,0,0,0,4,28,2,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE,P3,False,
2026-08-03,AXISBANK,120,120,0,0,108,12,0,0,1,0,1,0,0,0,0,0,0,0,3,15,1,EPISODE_RAW_STRUCTURE_CONFLICT|EPISODE_SLOPE_CONFLICT|EPISODE_TREND_CONFLICT|FRESH_OPPOSITE_EVIDENCE,P3,False,
