error_type,message,snapshot_time,stage,symbol
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:18:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:27:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:30:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:33:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:45:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:48:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:51:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:54:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:24:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:27:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:30:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:33:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:45:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:48:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:51:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:54:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 13:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:18:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:24:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:27:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:30:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:33:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:45:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:48:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:51:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:54:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:00:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
