accepted_range_id,accepted_range_inside,active_episode_id,auction_state,chase_block_eligible,classification,continuation_unlocked,created_price,episode_initial_room_qualified,episode_maturity_qualified,episode_status,exhausted_side,exhaustion_active,gap_pct,large_gap,package_pnl,proposed_reversal_confirmed,qualified_episode_unresolved,range_locked,range_policy_exempt,reversal_failed,same_direction_chase,setup,side,signal_id,signal_last_pnl_pct,signal_last_pnl_value,signal_time,symbol,would_block
ORB:2026-07-27,True,,REVERSAL,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,1450.8,False,False,NONE,UNKNOWN,False,0.4930213179640398,False,5631.9,False,False,False,False,False,False,REVERSAL,SELL,82e6014a-74bb-51ba-a790-0cbe4b68550f,0.517,7.5,2026-07-27 09:48:00,NESTLEIND,False
DYNAMIC:2026-07-27T09:24:00+05:30:2026-07-27T09:42:00+05:30,False,,BOUNDARY_INTERACTION,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,1234.1,False,False,NONE,UNKNOWN,False,0.4963788754170322,False,,False,False,False,False,False,False,ACCEPTED_BREAKOUT,BUY,75a9d5d0-e9b7-5cca-b3c0-ed533fe279e7,-0.4538,-5.6,2026-07-27 09:51:00,AXISBANK,False
DYNAMIC:2026-07-27T09:27:00+05:30:2026-07-27T09:45:00+05:30,True,,FRESH_EXPANSION,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,1037.5,False,False,NONE,UNKNOWN,False,1.431250616918358,True,-11367.0,False,False,False,False,False,False,BREAKOUT_INITIATION,SELL,8e138bf1-f406-515e-a893-a81a43187077,-0.8386,-8.7,2026-07-27 09:54:00,AUBANK,False
DYNAMIC:2026-07-27T09:18:00+05:30:2026-07-27T09:42:00+05:30,True,,REVERSAL,False,BLOCK_RANGE_LOCKED,False,1432.9,False,False,NONE,UNKNOWN,False,0.1392757660167131,False,105.7,False,False,True,False,False,False,REVERSAL,BUY,85ab76b9-54e0-5f27-bd67-24e6b62e5cbe,0.8444,12.1,2026-07-27 09:54:00,ICICIBANK,True
DYNAMIC:2026-07-27T09:21:00+05:30:2026-07-27T09:39:00+05:30,False,,REVERSAL,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,873.25,False,False,NONE,UNKNOWN,False,0.25200458190149433,False,-6015.65,False,False,False,False,False,False,REVERSAL,BUY,12947416-6fae-51d7-8747-60d262b726b1,-0.6184,-5.4,2026-07-27 09:54:00,MOTILALOFS,False
ORB:2026-07-27,False,EXPERIMENT_V2_1:LODHA:5:2026-07-27T10:03:00:UP,ORDERLY_UPTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1190.6,True,True,WATCH,UP,True,1.049042748492001,True,-6435.9,False,True,False,False,False,True,REVERSAL,BUY,7c23d322-473c-5a90-b347-d305f5cdf919,0.6845,8.15,2026-07-27 10:06:00,LODHA,True
DYNAMIC:2026-07-27T09:27:00+05:30:2026-07-27T10:03:00+05:30,True,,ORDERLY_DOWNTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,580.75,False,False,NONE,UNKNOWN,False,0.611407109791248,False,9619.8,False,False,False,True,False,False,FAILED_BREAKOUT,SELL,3fa254fd-5cdf-5707-bb63-d5e7ce0b4692,2.5829,15.0,2026-07-27 10:12:00,KALYANKJIL,False
ORB:2026-07-27,True,,REVERSAL,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,2756.1,False,False,NONE,UNKNOWN,False,0.4245196706312867,False,-2492.75,False,False,False,False,False,False,REVERSAL,BUY,fef27213-d8db-59a7-8db0-d100607456be,-0.1197,-3.3,2026-07-27 10:18:00,MCX,False
DYNAMIC:2026-07-27T09:18:00+05:30:2026-07-27T09:36:00+05:30,True,,REVERSAL,False,BLOCK_RANGE_LOCKED,False,31190.0,False,False,NONE,UNKNOWN,False,0.3852327447833066,False,7801.25,False,False,True,False,False,False,REVERSAL,BUY,9b01eda2-b42c-5f7c-82c2-51c51fa99ce6,1.2504,390.0,2026-07-27 10:18:00,POWERINDIA,True
DYNAMIC:2026-07-27T09:21:00+05:30:2026-07-27T09:39:00+05:30,True,,REVERSAL,False,BLOCK_RANGE_LOCKED,False,867.35,False,False,NONE,UNKNOWN,False,0.25200458190149433,False,308.6,False,False,True,False,False,False,REVERSAL,SELL,6ed1c6d9-34a8-503c-ad0c-be8ab0c384e9,0.0404,0.35,2026-07-27 10:27:00,MOTILALOFS,True
DYNAMIC:2026-07-27T09:33:00+05:30:2026-07-27T10:09:00+05:30,False,EXPERIMENT_V2_1:PNBHOUSING:8:2026-07-27T10:27:00:DOWN,ORDERLY_DOWNTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1054.6,True,True,WATCH,DOWN,False,0.8384361752237486,False,-10386.7,False,True,False,False,False,True,ACCEPTED_BREAKOUT,SELL,93e05769-d3bf-5b13-bb73-5684a5c9627f,-1.9154,-20.2,2026-07-27 10:33:00,PNBHOUSING,True
DYNAMIC:2026-07-27T09:21:00+05:30:2026-07-27T09:36:00+05:30,False,,ORDERLY_UPTREND,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,3048.2,False,False,NONE,UNKNOWN,False,1.5085484411666108,True,-4613.35,False,False,False,False,False,False,ACCEPTED_BREAKOUT,BUY,2dfb0947-07db-5509-89e3-e072ca4420c7,-0.7611,-23.2,2026-07-27 10:42:00,MUTHOOTFIN,False
DYNAMIC:2026-07-27T09:27:00+05:30:2026-07-27T10:09:00+05:30,False,EXPERIMENT_V2_1:PERSISTENT:1:2026-07-27T09:33:00:UP,ORDERLY_DOWNTREND,True,UNCHANGED_BY_EXPERIMENT_POLICY,False,5246.1,True,True,REVERSAL_CONFIRMED,UP,False,1.0529355149181872,True,-7584.95,True,True,False,False,False,False,REVERSAL,SELL,584da7ab-66ca-56ca-8b70-2d0eb6d6d380,-0.671,-35.2,2026-07-27 10:45:00,PERSISTENT,False
DYNAMIC:2026-07-27T09:21:00+05:30:2026-07-27T10:09:00+05:30,False,,BOUNDARY_INTERACTION,False,UNCHANGED_BY_EXPERIMENT_POLICY,False,13627.0,False,False,NONE,UNKNOWN,False,1.2863409918953082,True,,False,False,False,False,False,False,BREAKOUT_INITIATION,BUY,6e682f0f-1cbb-5fdf-965c-a79969f034ea,0.7559,103.0,2026-07-27 10:48:00,MARUTI,False
DYNAMIC:2026-07-27T09:57:00+05:30:2026-07-27T10:18:00+05:30,False,EXPERIMENT_V2_1:ASIANPAINT:19:2026-07-27T10:30:00:UP,ORDERLY_UPTREND,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,2720.5,True,True,WATCH,UP,False,1.265391172570566,True,-5059.0,False,True,False,False,False,True,ACCEPTED_BREAKOUT,BUY,3d2ff68a-84a4-5e83-954f-4679e99be31f,-0.2389,-6.5,2026-07-27 10:54:00,ASIANPAINT,True
DYNAMIC:2026-07-27T09:18:00+05:30:2026-07-27T09:45:00+05:30,False,EXPERIMENT_V2_1:LAURUSLABS:2:2026-07-27T10:21:00:UP,REACCELERATION,True,BLOCK_QUALIFIED_EXHAUSTION_CHASE,False,1683.7,True,True,WATCH,UP,False,1.2437810945273633,True,17566.0,False,True,False,False,False,True,ACCEPTED_BREAKOUT,BUY,903ac87e-f48a-526d-98de-c5279d18c1d4,1.6214,27.3,2026-07-27 10:57:00,LAURUSLABS,True
