auction_exhaustion_reason_codes,auction_exhaustion_started_at,baseline_delay_minutes,baseline_first_same_side_signal_price,baseline_first_same_side_signal_setup,baseline_first_same_side_signal_time,baseline_signal_id,completed_time,completion_reason,confirmation_displacement_atr,confirmation_price,confirmation_reason,confirmation_time,continuation_unlocked_time,episode_id,exhausted_side,expires_at,extreme_time,failure_candidate_time,final_pre_confirmation_extreme,gap_pct,initial_extreme,initial_room_qualified,initial_vwap_room_atr,initial_vwap_room_pct,initial_vwap_room_points,initiation_atr,initiation_close,initiation_reason_codes,initiation_time,initiation_vwap,large_gap,mae_atr,mae_pct,mae_points,maturity_qualified,maturity_reason_source,mfe_atr,mfe_pct,mfe_points,move_20_bars_pct,move_3_bars_pct,move_6_bars_pct,move_9_bars_pct,reversal_failed_time,reversal_side,sequence_number,stock_context_reason_codes,symbol
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:27:00,,,,,,2026-07-27 12:30:00,CONFIRMED_EXPIRED_UNFAILED,1.9659226757936865,7275.0,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 11:18:00,,EXPERIMENT_V2_1:ABB:1:2026-07-27T10:27:00:DOWN,DOWN,2026-07-27 12:27:00,2026-07-27 11:09:00,,7235.5,0.5345060893098782,7276.5,True,3.217970861269187,0.009205379889962432,66.98294676931164,20.815274487256595,7290.5,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:27:00,7343.482946769312,False,1.8255824598068182,0.005223367697594502,38.0,True,AUCTION_STATE_MEMORY,3.0986860173036783,0.008865979381443298,64.5,-0.0007560137457044674,-0.0038487972508591066,-0.002542955326460481,-0.003711340206185567,,BUY,1,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ABB
CURRENT_LEG_MATURE|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 14:33:00,,,,,,,,1.7135398850018428,7315.0,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 14:51:00,,EXPERIMENT_V2_1:ABB:4:2026-07-27T14:39:00:UP,UP,2026-07-27 16:39:00,2026-07-27 14:39:00,2026-07-27 15:06:00,7334.0,0.5345060893098782,7334.0,True,3.0783972762232508,0.005062735937191742,37.13010536336424,12.06150539767808,7326.5,CURRENT_LEG_MATURE|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 14:39:00,7296.869894636636,False,2.0312555682076314,0.0033492822966507177,24.5,True,AUCTION_STATE_MEMORY,0.414541952695435,0.000683526999316473,5.0,,-0.0024606971975393026,-0.0024606971975393026,-0.0021189336978810662,,SELL,4,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ABB
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 10:42:00,,,,,,2026-07-27 11:06:00,REVERSAL_FAILED_WITH_ACCEPTANCE,1.5668456791348313,308.6,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 10:48:00,2026-07-27 11:06:00,EXPERIMENT_V2_1:ANGELONE:11:2026-07-27T10:42:00:DOWN,DOWN,2026-07-27 12:42:00,2026-07-27 10:42:00,2026-07-27 11:03:00,307.45,0.6820396232543108,307.45,True,2.983631410045336,0.006675733365603,2.0524542232546423,0.6879047513524653,307.7,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 10:42:00,309.50245422325463,False,8.213346381009533,0.01830848995463394,5.650000000000034,True,AUCTION_STATE_MEMORY,1.0175827374701851,0.002268308489954597,0.6999999999999886,-0.0042125729099157854,0.0001620220349966122,-0.005184705119896379,-0.0034024627349319874,2026-07-27 11:06:00,BUY,11,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ANGELONE
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:45:00,,,,,,2026-07-27 12:39:00,REVERSAL_FAILED_WITH_ACCEPTANCE,2.1378086980740774,308.1,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 12:21:00,2026-07-27 12:39:00,EXPERIMENT_V2_1:ANGELONE:12:2026-07-27T11:51:00:DOWN,DOWN,2026-07-27 13:51:00,2026-07-27 11:51:00,2026-07-27 12:36:00,307.0,0.6820396232543108,307.0,True,3.632479093402197,0.006682671667342216,2.05158020187406,0.5647878897914153,307.2,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:51:00,309.05158020187406,False,9.118467469091817,0.01671535215839024,5.150000000000034,True,AUCTION_STATE_MEMORY,0.17705762075900283,0.0003245699448229987,0.0999999999999659,-0.01152223304122042,-0.002921129503408095,-0.0045439792275236415,-0.0038948393378774597,2026-07-27 12:39:00,BUY,12,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ANGELONE
PRIOR_MOVE_EXTENDED,2026-07-27 12:51:00,,,,,,2026-07-27 13:18:00,REVERSAL_FAILED_WITH_ACCEPTANCE,1.2865012951886672,307.2,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 13:03:00,2026-07-27 13:18:00,EXPERIMENT_V2_1:ANGELONE:13:2026-07-27T13:00:00:DOWN,DOWN,2026-07-27 15:00:00,2026-07-27 13:00:00,2026-07-27 13:15:00,306.6,0.6820396232543108,306.6,True,4.796348383451022,0.007074952738390376,2.1691805095904897,0.4522566619795333,306.85,PRIOR_MOVE_EXTENDED,2026-07-27 13:00:00,308.7691805095905,False,9.397318729143082,0.013834635416666668,4.25,True,AUCTION_STATE_MEMORY,0.6633401455865956,0.000976562500000037,0.30000000000001137,-0.00911458333333337,0.0,-0.00862630208333326,-0.007161458333333297,2026-07-27 13:18:00,BUY,13,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ANGELONE
CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED,2026-07-27 13:24:00,,,,,,,,1.4426798252948763,305.0,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 13:48:00,,EXPERIMENT_V2_1:ANGELONE:14:2026-07-27T13:30:00:DOWN,DOWN,2026-07-27 15:30:00,2026-07-27 13:36:00,2026-07-27 14:48:00,304.25,0.6820396232543108,304.45,True,6.3008694640417255,0.011777946002499505,3.585795660460974,0.5690953734122983,305.0,CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED,2026-07-27 13:30:00,308.03579566046096,False,3.6022081636478656,0.006721311475409874,2.0500000000000114,True,AUCTION_STATE_MEMORY,0.9664460926860273,0.0018032786885246275,0.5500000000000114,-0.0026229508196721684,-0.0022950819672130775,-0.001147540983606632,-0.000819672131147541,,BUY,14,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ANGELONE
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:15:00,,,,,,2026-07-27 12:33:00,CONFIRMED_EXPIRED_UNFAILED,2.5049000769265506,2711.6,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 11:06:00,,EXPERIMENT_V2_1:ASIANPAINT:19:2026-07-27T10:30:00:UP,UP,2026-07-27 12:30:00,2026-07-27 10:30:00,,2722.5,1.265391172570566,2722.5,True,2.8219838184487056,0.005264084136112963,14.331469060567542,5.078508589197299,2717.1,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:30:00,2708.1685309394325,True,1.8509371077948378,0.0034665879923292857,9.400000000000091,True,AUCTION_STATE_MEMORY,1.201140038037046,0.002249594335447673,6.099999999999909,0.000737571913261543,-0.00044254314795702645,-0.0010326006785662274,-0.002397108718100015,,SELL,19,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_INSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,ASIANPAINT
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:09:00,,,,,,2026-07-27 13:12:00,CONFIRMED_EXPIRED_UNFAILED,1.6278516599510848,1058.0,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 12:54:00,,EXPERIMENT_V2_1:AUBANK:7:2026-07-27T11:09:00:UP,UP,2026-07-27 13:09:00,2026-07-27 12:45:00,,1061.1,1.431250616918358,1047.0,True,3.0467103726452285,0.007338857790645982,7.683784106806343,2.521993615079038,1046.3,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:09:00,1039.3162158931937,True,0.6344187354137159,0.0015122873345934868,1.599999999999909,True,AUCTION_STATE_MEMORY,3.1720936770687596,0.007561436672967864,8.0,0.003213610586011428,0.0004725897920604915,0.001606805293005714,0.005293005671077418,,SELL,7,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,AUBANK
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:27:00,,,,,,2026-07-27 13:36:00,CONFIRMED_EXPIRED_UNFAILED,1.1905579878022279,1225.1,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 11:42:00,,EXPERIMENT_V2_1:AXISBANK:29:2026-07-27T11:33:00:DOWN,DOWN,2026-07-27 13:33:00,2026-07-27 11:33:00,2026-07-27 12:36:00,1223.4,0.4963788754170322,1223.4,True,4.069545394058969,0.0051726291912686006,6.328194552598006,1.5550126463354812,1223.5,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 11:33:00,1229.728194552598,False,2.250785553576073,0.0028569096400293858,3.5,True,AUCTION_STATE_MEMORY,3.279716092353794,0.004162925475471502,5.100000000000136,-0.0015508938045872694,0.0,8.162598971523666e-05,-0.00016325197943010213,,BUY,29,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,AXISBANK
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 09:33:00,,,,,,2026-07-27 11:48:00,CONFIRMED_EXPIRED_UNFAILED,1.7931198085112052,1904.8,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 09:54:00,,EXPERIMENT_V2_1:BAJAJFINSV:5:2026-07-27T09:45:00:UP,UP,2026-07-27 11:45:00,2026-07-27 09:48:00,,1912.9,0.6648936170212766,1912.4,True,2.2183479803333204,0.005301161027778291,10.137940349523205,4.570040606523742,1908.3,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 09:45:00,1902.2620596504769,False,3.3260098342019138,0.007979840403191961,15.200000000000045,True,AUCTION_STATE_MEMORY,1.9474662844997692,0.004672406551868891,8.899999999999864,0.0008924821503570168,0.002834943301133906,0.003044939101217952,0.0014699706005879645,,SELL,5,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,BAJAJFINSV
