error_type,message,snapshot_time,stage,symbol
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,ABB
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,ABB
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,ABB
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,ABB
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,ANGELONE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,ANGELONE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,ANGELONE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,ANGELONE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,ASIANPAINT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,ASIANPAINT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,ASIANPAINT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,ASIANPAINT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,AUBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,AUBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,AUBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,AUBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,AXISBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,AXISBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,AXISBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,AXISBANK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BAJAJFINSV
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BAJAJFINSV
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BAJAJFINSV
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BAJAJFINSV
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BAJFINANCE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BAJFINANCE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BAJFINANCE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BAJFINANCE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BANKBARODA
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BANKBARODA
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BANKBARODA
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BANKBARODA
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BHEL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BHEL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BHEL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BHEL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BLUESTARCO
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BLUESTARCO
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BLUESTARCO
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BLUESTARCO
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BPCL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BPCL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BPCL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BPCL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,BSE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,BSE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,BSE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,BSE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,CHOLAFIN
