status,run_id,trading_day,rank_time,requested_symbols,cadence_coverage,ranked_symbols,missing_symbols,failed_symbols,priority_count,secondary_count,suppressed_count,range_bound_count,moving_count,developing_count,persisted
COMPLETED,STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,80,75,75,"[""ALKEM"", ""AUBANK"", ""AUROPHARMA"", ""BIOCON"", ""FORTIS""]",{},25,25,25,0,60,7,True
COMPLETED,STOCK_RANK:20260731T093600,2026-07-31,2026-07-31 09:36:00,80,75,75,"[""ALKEM"", ""AUBANK"", ""AUROPHARMA"", ""BIOCON"", ""FORTIS""]",{},25,25,25,2,48,15,True
COMPLETED,STOCK_RANK:20260731T094200,2026-07-31,2026-07-31 09:42:00,80,75,75,"[""ALKEM"", ""AUBANK"", ""AUROPHARMA"", ""BIOCON"", ""FORTIS""]",{},25,23,27,3,35,21,True
COMPLETED,STOCK_RANK:20260731T094800,2026-07-31,2026-07-31 09:48:00,80,75,75,"[""ALKEM"", ""AUBANK"", ""AUROPHARMA"", ""BIOCON"", ""FORTIS""]",{},25,10,40,8,26,14,True
COMPLETED,STOCK_RANK:20260731T095400,2026-07-31,2026-07-31 09:54:00,80,75,75,"[""ALKEM"", ""AUBANK"", ""AUROPHARMA"", ""BIOCON"", ""FORTIS""]",{},15,10,50,9,15,15,True
COMPLETED,STOCK_RANK:20260731T100000,2026-07-31,2026-07-31 10:00:00,80,77,77,"[""AUBANK"", ""BIOCON"", ""FORTIS""]",{},8,10,59,9,8,16,True
COMPLETED,STOCK_RANK:20260731T100600,2026-07-31,2026-07-31 10:06:00,80,80,80,[],{},13,5,62,9,13,12,True
COMPLETED,STOCK_RANK:20260731T101200,2026-07-31,2026-07-31 10:12:00,80,80,80,[],{},16,4,60,18,16,10,True
COMPLETED,STOCK_RANK:20260731T101800,2026-07-31,2026-07-31 10:18:00,80,80,80,[],{},16,4,60,22,16,6,True
COMPLETED,STOCK_RANK:20260731T102400,2026-07-31,2026-07-31 10:24:00,80,80,80,[],{},14,5,61,22,14,11,True
COMPLETED,STOCK_RANK:20260731T103000,2026-07-31,2026-07-31 10:30:00,80,80,80,[],{},11,4,65,18,11,9,True
COMPLETED,STOCK_RANK:20260731T103600,2026-07-31,2026-07-31 10:36:00,80,80,80,[],{},9,7,64,24,9,12,True
