symbol,observations,average_rank,average_score,priority_pct,secondary_pct,suppressed_pct,moving_pct,developing_pct,range_bound_pct,neutral_pct,top25_pct,top50_pct
360ONE,58,42.569,15.2,15.5172,6.8966,77.5862,15.5172,8.6207,63.7931,12.069,31.0345,62.069
ABB,58,53.069,10.7743,8.6207,6.8966,84.4828,10.3448,6.8966,32.7586,50.0,22.4138,48.2759
ABCAPITAL,58,67.9828,3.5565,0.0,0.0,100.0,0.0,3.4483,51.7241,44.8276,5.1724,22.4138
ADANIGREEN,58,52.4828,9.9732,6.8966,5.1724,87.931,6.8966,10.3448,60.3448,22.4138,17.2414,50.0
ADANIPORTS,58,59.3448,6.1269,1.7241,3.4483,94.8276,3.4483,5.1724,46.5517,44.8276,10.3448,32.7586
AMBER,58,55.5517,11.6341,13.7931,5.1724,81.0345,13.7931,12.069,18.9655,55.1724,22.4138,44.8276
ANGELONE,58,58.6379,5.7268,0.0,5.1724,94.8276,1.7241,6.8966,63.7931,27.5862,6.8966,34.4828
ASTRAL,58,35.569,20.9031,29.3103,10.3448,60.3448,31.0345,12.069,13.7931,43.1034,48.2759,70.6897
AUBANK,58,57.7069,5.4408,1.7241,0.0,98.2759,1.7241,1.7241,87.931,8.6207,10.3448,36.2069
AXISBANK,58,43.4138,15.8085,17.2414,10.3448,72.4138,17.2414,18.9655,22.4138,41.3793,34.4828,60.3448
BAJAJ-AUTO,58,62.7931,7.153,1.7241,0.0,98.2759,1.7241,0.0,68.9655,29.3103,17.2414,32.7586
BAJFINANCE,58,50.0172,8.2459,0.0,3.4483,96.5517,1.7241,3.4483,81.0345,13.7931,13.7931,53.4483
BANKBARODA,58,53.7759,11.9011,10.3448,8.6207,81.0345,10.3448,15.5172,20.6897,53.4483,24.1379,46.5517
BDL,58,37.2069,20.5945,25.8621,10.3448,63.7931,27.5862,15.5172,13.7931,43.1034,44.8276,63.7931
BEL,58,36.5862,18.0553,20.6897,8.6207,70.6897,20.6897,18.9655,25.8621,34.4828,41.3793,72.4138
BHARATFORG,58,51.5517,11.8488,6.8966,10.3448,82.7586,8.6207,17.2414,22.4138,51.7241,25.8621,48.2759
BHEL,58,47.6552,14.1306,15.5172,10.3448,74.1379,15.5172,10.3448,65.5172,8.6207,32.7586,48.2759
BIOCON,58,53.1034,10.2208,8.6207,5.1724,86.2069,8.6207,5.1724,50.0,36.2069,22.4138,46.5517
BLUESTARCO,58,43.2586,15.1592,18.9655,5.1724,75.8621,18.9655,6.8966,15.5172,58.6207,31.0345,56.8966
BPCL,58,65.4138,3.84,1.7241,0.0,98.2759,1.7241,1.7241,86.2069,10.3448,8.6207,24.1379
BSE,58,32.1379,21.1757,24.1379,10.3448,65.5172,25.8621,18.9655,37.931,17.2414,44.8276,79.3103
CGPOWER,58,56.431,8.8221,6.8966,5.1724,87.931,6.8966,5.1724,22.4138,65.5172,13.7931,37.931
CHOLAFIN,58,56.9138,7.8888,6.8966,1.7241,91.3793,8.6207,3.4483,72.4138,15.5172,10.3448,41.3793
COFORGE,58,41.9828,17.4147,18.9655,5.1724,75.8621,20.6897,10.3448,27.5862,41.3793,37.931,53.4483
CROMPTON,58,45.1207,14.6808,18.9655,5.1724,75.8621,18.9655,6.8966,20.6897,53.4483,29.3103,62.069
DELHIVERY,58,44.9483,14.5994,17.2414,6.8966,75.8621,18.9655,10.3448,20.6897,50.0,29.3103,56.8966
DIVISLAB,58,51.7586,10.5599,8.6207,12.069,79.3103,8.6207,17.2414,25.8621,48.2759,24.1379,48.2759
DLF,58,43.1897,16.996,15.5172,8.6207,75.8621,15.5172,13.7931,41.3793,29.3103,37.931,63.7931
DMART,58,53.7414,14.7047,24.1379,3.4483,72.4138,25.8621,5.1724,43.1034,25.8621,29.3103,44.8276
DRREDDY,58,60.3103,7.0358,6.8966,3.4483,89.6552,8.6207,3.4483,84.4828,3.4483,15.5172,37.931
ETERNAL,58,55.569,9.3662,10.3448,1.7241,87.931,10.3448,3.4483,46.5517,39.6552,15.5172,48.2759
FORCEMOT,58,45.3276,14.6919,12.069,12.069,75.8621,15.5172,12.069,5.1724,67.2414,24.1379,60.3448
GLENMARK,58,50.8448,13.8608,15.5172,6.8966,77.5862,15.5172,10.3448,20.6897,53.4483,24.1379,46.5517
GODFRYPHLP,58,42.9655,14.9492,12.069,8.6207,79.3103,13.7931,13.7931,24.1379,48.2759,34.4828,56.8966
GVT&D,58,57.5517,7.1723,1.7241,3.4483,94.8276,1.7241,3.4483,84.4828,10.3448,17.2414,36.2069
HCLTECH,58,39.1034,21.1932,29.3103,8.6207,62.069,29.3103,13.7931,8.6207,48.2759,43.1034,63.7931
HDFCAMC,58,56.6034,9.9218,10.3448,5.1724,84.4828,10.3448,6.8966,74.1379,8.6207,24.1379,36.2069
HINDALCO,58,31.9483,25.2728,29.3103,15.5172,55.1724,31.0345,17.2414,46.5517,5.1724,58.6207,72.4138
HINDPETRO,58,50.9828,11.6972,6.8966,5.1724,87.931,6.8966,10.3448,58.6207,24.1379,20.6897,53.4483
HINDZINC,58,31.8966,24.3683,31.0345,3.4483,65.5172,31.0345,8.6207,43.1034,17.2414,51.7241,70.6897
HYUNDAI,58,51.0862,11.1154,12.069,8.6207,79.3103,12.069,10.3448,37.931,39.6552,25.8621,50.0
ICICIBANK,58,48.3276,13.57,15.5172,1.7241,82.7586,17.2414,0.0,75.8621,6.8966,32.7586,48.2759
ICICIGI,58,44.569,16.3345,17.2414,8.6207,74.1379,18.9655,10.3448,62.069,8.6207,29.3103,55.1724
ICICIPRULI,58,57.2931,8.9488,6.8966,5.1724,87.931,10.3448,3.4483,65.5172,20.6897,13.7931,43.1034
INDIGO,58,49.2241,14.5104,17.2414,5.1724,77.5862,18.9655,5.1724,60.3448,15.5172,24.1379,50.0
INDUSINDBK,58,45.1379,16.3885,20.6897,5.1724,74.1379,22.4138,10.3448,8.6207,58.6207,32.7586,60.3448
INDUSTOWER,58,44.7069,12.0601,12.069,3.4483,84.4828,12.069,5.1724,20.6897,62.069,25.8621,65.5172
INFY,58,53.5345,8.6612,3.4483,3.4483,93.1034,5.1724,3.4483,79.3103,12.069,15.5172,44.8276
JINDALSTEL,58,59.1207,8.0379,6.8966,1.7241,91.3793,6.8966,1.7241,51.7241,39.6552,18.9655,34.4828
JSWENERGY,58,35.8966,19.7403,22.4138,13.7931,63.7931,24.1379,13.7931,10.3448,51.7241,39.6552,68.9655
JUBLFOOD,44,32.5227,24.9897,31.8182,9.0909,59.0909,31.8182,11.3636,50.0,6.8182,45.4545,72.7273
KALYANKJIL,44,49.2045,14.2683,11.3636,6.8182,81.8182,11.3636,11.3636,40.9091,36.3636,31.8182,54.5455
KOTAKBANK,44,59.6818,8.0235,6.8182,2.2727,90.9091,6.8182,6.8182,43.1818,43.1818,15.9091,38.6364
KPITTECH,44,44.4545,14.4207,13.6364,9.0909,77.2727,18.1818,11.3636,15.9091,54.5455,31.8182,63.6364
LAURUSLABS,44,56.5,8.6312,2.2727,6.8182,90.9091,2.2727,9.0909,54.5455,34.0909,13.6364,40.9091
