advisor_action,advisor_reason_codes,approved,blockers,candidate_id,index,manager_reason_codes,outcome,reason_codes,setup_family,side,snapshot_time,source_episode_id,source_event_id,source_event_type,structural_result,symbol
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,170,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T09:51:00+05:30,DIR:CHOLAFIN:2026-07-31:001:UP:093000,DIR:CHOLAFIN:2026-07-31:001:UP:093000:DIRECTIONAL_REACCELERATION_CONFIRMED:095100,DIRECTIONAL_REACCELERATION_CONFIRMED,PERMIT,CHOLAFIN
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,211,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T10:00:00+05:30,DIR:BHEL:2026-07-31:001:UP:093000,DIR:BHEL:2026-07-31:001:UP:093000:DIRECTIONAL_TREND_RESTORED:100000,DIRECTIONAL_TREND_RESTORED,PERMIT,BHEL
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,232,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T10:03:00+05:30,DIR:INDUSTOWER:2026-07-31:002:UP:095700,DIR:INDUSTOWER:2026-07-31:002:UP:095700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:100300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,INDUSTOWER
WATCH,"[""INSIDE_ACCEPTED_RANGE""]",True,[],CAND:6d4eb3327dea38c8df58b68c,237,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_WATCH_DEFERRED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T10:03:00+05:30,DIR:TCS:2026-07-31:002:UP:094200,DIR:TCS:2026-07-31:002:UP:094200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:100300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,TCS
BLOCK,"[""MATURE_NARROW_RANGE_CHURN""]",True,[],CAND:01cf0ee0a1f1000416280da1,284,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,SELL,2026-07-31T10:15:00+05:30,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_STARTED:101500,BALANCE_ESCAPE_STARTED,PERMIT,DIVISLAB
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,289,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,SELL,2026-07-31T10:15:00+05:30,DIR:KALYANKJIL:2026-07-31:001:DOWN:094800,DIR:KALYANKJIL:2026-07-31:001:DOWN:094800:DIRECTIONAL_TREND_RESTORED:101500,DIRECTIONAL_TREND_RESTORED,PERMIT,KALYANKJIL
,[],True,[],CAND:e17dada293351fc2489a61b9,298,"[""EVENT_DRIVEN_SETUP_SELECTED""]",MANAGER_SUPPORTING,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""OUTSIDE_ACCEPTANCE_CONFIRMED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T10:18:00+05:30,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_ACCEPTED:101800,BALANCE_ESCAPE_ACCEPTED,PERMIT,DIVISLAB
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:6644484c352c701feebfdf31,298,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,SELL,2026-07-31T10:18:00+05:30,DIR:DIVISLAB:2026-07-31:002:DOWN:100600,DIR:DIVISLAB:2026-07-31:002:DOWN:100600:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:101800,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,DIVISLAB
,[],False,"[""STRUCTURAL_PERMISSION_BLOCK""]",,320,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",STRUCTURAL_PERMISSION_BLOCKED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T10:21:00+05:30,DIR:POWERINDIA:2026-07-31:003:UP:100300,DIR:POWERINDIA:2026-07-31:003:UP:100300:DIRECTIONAL_REACCELERATION_CONFIRMED:102100,DIRECTIONAL_REACCELERATION_CONFIRMED,BLOCK,POWERINDIA
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:995ee50ff305357125723e26,325,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,SELL,2026-07-31T10:24:00+05:30,DIR:COFORGE:2026-07-31:002:DOWN:101500,DIR:COFORGE:2026-07-31:002:DOWN:101500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:102400,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,COFORGE
