auction_action,auction_state,authoritative_event_ids,authoritative_event_types,balance_state,directional_alignment,displaced_signal_actions,displaced_signal_ids,displaced_trade_actions,downstream_contract_version,downstream_signal_state,downstream_trade_action,exit_pressure,generated_signal_transitions,index,management_posture,management_reason_code,permission_results,persisted_signal_action,selected_candidate_id,selected_opportunity_key,setup_reference_price,should_exit_signal,signal_action,signal_stage,signal_status,signal_status_reason,snapshot_time,symbol,target_expansion_allowed,trail_mode
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],1,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,BHEL,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],2,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,CHOLAFIN,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],3,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,COFORGE,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],4,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,DIVISLAB,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],5,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,EXIDEIND,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],6,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,FORCEMOT,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],7,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,GLENMARK,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],8,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,INDUSTOWER,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],9,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,KALYANKJIL,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],10,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,MANAPPURAM,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],11,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,PERSISTENT,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],12,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,POWERINDIA,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],13,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,TCS,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],14,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:15:00+05:30,TORNTPHARM,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],15,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,BHEL,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],16,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,CHOLAFIN,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],17,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,COFORGE,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],18,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,DIVISLAB,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],19,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,EXIDEIND,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],20,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,FORCEMOT,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],21,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,GLENMARK,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],22,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,INDUSTOWER,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],23,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,KALYANKJIL,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],24,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,MANAPPURAM,,
NO_EVENT,NONE,[],[],NONE,,[],[],[],,,,,[],25,,,[],,,,,,NO_ACTION,,,,2026-07-31T09:18:00+05:30,PERSISTENT,,
