advisor_action,advisor_context_as_of,advisor_context_present,advisor_context_symbol,advisor_diagnostics_json,advisor_reason_codes,approved,blockers,candidate_id,index,manager_reason_codes,market_regime_age_seconds,market_regime_availability,market_regime_buy_support,market_regime_confidence,market_regime_continuation_support,market_regime_evidence,market_regime_hysteresis,market_regime_influence,market_regime_metrics,market_regime_reason_codes,market_regime_reversal_support,market_regime_sell_support,market_regime_state,outcome,reason_codes,setup_family,side,snapshot_time,source_episode_id,source_event_id,source_event_type,stock_rank_age_seconds,stock_rank_attention_tier,stock_rank_availability,stock_rank_classification,stock_rank_direction,stock_rank_fresh,stock_rank_influence,stock_rank_movement_score,stock_rank_position,stock_rank_quality_score,stock_rank_range_penalty,stock_rank_rank_time,stock_rank_reason_codes,stock_rank_stall_penalty,stock_rank_total_score,stock_rank_universe_size,structural_result,symbol
,,False,,,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,170,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",,,,,,,,,,,,,,SETUP_QUALITY_REJECTED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T09:51:00+05:30,DIR:CHOLAFIN:2026-07-31:001:UP:093000,DIR:CHOLAFIN:2026-07-31:001:UP:093000:DIRECTIONAL_REACCELERATION_CONFIRMED:095100,DIRECTIONAL_REACCELERATION_CONFIRMED,,,,,,,,,,,,,,,,,PERMIT,CHOLAFIN
,,False,,,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,211,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",,,,,,,,,,,,,,SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T10:00:00+05:30,DIR:BHEL:2026-07-31:001:UP:093000,DIR:BHEL:2026-07-31:001:UP:093000:DIRECTIONAL_TREND_RESTORED:100000,DIRECTIONAL_TREND_RESTORED,,,,,,,,,,,,,,,,,PERMIT,BHEL
,,False,,,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,232,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",,,,,,,,,,,,,,SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T10:03:00+05:30,DIR:INDUSTOWER:2026-07-31:002:UP:095700,DIR:INDUSTOWER:2026-07-31:002:UP:095700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:100300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,,,,,,,,,,,,,,,,,PERMIT,INDUSTOWER
WATCH,2026-07-31T10:03:00,True,TCS,"{""advisor_context"": {""as_of"": ""2026-07-31T10:03:00"", ""market_regime"": {""age_seconds"": null, ""as_of"": ""2026-07-31T10:03:00"", ""availability"": ""UNAVAILABLE"", ""buy_support"": 0.0, ""confidence"": 0.0, ""continuation_support"": 0.0, ""evidence"": [], ""hysteresis"": {""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}, ""metrics"": {}, ""reason_codes"": [""MARKET_REGIME_NOT_IMPLEMENTED""], ""reversal_support"": 0.0, ""sell_support"": 0.0, ""state"": ""UNKNOWN""}, ""market_regime_influence"": ""NONE"", ""stock_rank"": {""age_seconds"": 180.0, ""as_of"": ""2026-07-31T10:03:00"", ""attention_tier"": ""SUPPRESSED"", ""availability"": ""AVAILABLE"", ""classification"": ""NEUTRAL"", ""direction"": ""UP"", ""fresh"": true, ""movement_score"": 43.0362, ""quality_score"": 31.545, ""range_penalty"": 37.2246, ""rank_position"": 39, ""rank_time"": ""2026-07-31T10:00:00"", ""reason_codes"": [""STOCK_RANK_AVAILABLE""], ""stall_penalty"": 45.0, ""symbol"": ""TCS"", ""total_score"": 9.7266, ""universe_size"": 77}, ""stock_rank_influence"": ""DIAGNOSTIC"", ""symbol"": ""TCS""}, ""barrier"": {""active"": false, ""barrier_price"": 2391.0, ""barrier_type"": ""ORH"", ""candidates"": [{""price"": 2391.0, ""type"": ""ORH""}, {""price"": 2391.0, ""type"": ""SESSION_HIGH""}, {""price"": 2420.1445897764356, ""type"": ""EMA_SLOW""}, {""price"": 2430.0274011452407, ""type"": ""EMA_REF""}, {""price"": 2495.0, ""type"": ""PDH""}], ""distance_atr"": 3.0134837804911054, ""distance_pct"": 1.048093990364305, ""distance_points"": 24.800000000000182, ""threshold_points"": 4.7324}, ""candidate_family"": ""REVERSAL"", ""candidate_side"": ""BUY"", ""candidate_subtype"": ""STRUCTURAL_REVERSAL"", ""day_path"": {""close_first"": 2349.5, ""close_last"": 2366.2, ""containment_ratio"": null, ""episode_age_bars"": 13, ""midpoint_crossings"": 0, ""path_efficiency"": 0.4453333333333285, ""range_width_pct"": null, ""sample_count"": 13, ""structure_flips"": 1, ""total_travel_points"": 37.5, ""total_travel_range_multiple"": null, ""vwap_crossings"": 1}, ""deployment_scope"": ""NEW_SIGNAL_ONLY"", ""episode_history"": {""exhausted_objective_context"": false, ""exhaustion_facts"": [""DIRECTIONAL_LEG_MATURE""], ""prior_count_day"": 0, ""prior_count_same_episode"": 0, ""prior_opportunity_keys"": [], ""prior_opposite_side_same_episode"": 0, ""prior_same_side_same_episode"": 0}, ""matched_rules"": [{""configured_action"": ""WATCH"", ""reason"": ""INSIDE_ACCEPTED_RANGE""}], ""mature_range_churn"": {""facts"": [], ""matched"": false}, ""range_context"": {""authority"": ""CURRENT_AUCTION_OBSERVATION"", ""high"": null, ""inside_for_rule"": true, ""low"": null, ""observation_accepted_range_high"": 2391.0, ""observation_accepted_range_inside"": true, ""observation_accepted_range_low"": 2326.1, ""outside_for_side"": false, ""reference_price"": null, ""source_episode_id"": null, ""source_event_id"": null}, ""source_episode_id"": ""DIR:TCS:2026-07-31:002:UP:094200"", ""source_event_id"": ""DIR:TCS:2026-07-31:002:UP:094200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:100300""}","[""INSIDE_ACCEPTED_RANGE""]",True,[],CAND:6d4eb3327dea38c8df58b68c,237,"[""EVENT_DRIVEN_SETUP_SELECTED""]",,UNAVAILABLE,0.0,0.0,0.0,[],"{""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}",NONE,{},"[""MARKET_REGIME_NOT_IMPLEMENTED""]",0.0,0.0,UNKNOWN,ADVISOR_WATCH_DEFERRED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T10:03:00+05:30,DIR:TCS:2026-07-31:002:UP:094200,DIR:TCS:2026-07-31:002:UP:094200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:100300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,180.0,SUPPRESSED,AVAILABLE,NEUTRAL,UP,True,DIAGNOSTIC,43.0362,39,31.545,37.2246,2026-07-31T10:00:00,"[""STOCK_RANK_AVAILABLE""]",45.0,9.7266,77,PERMIT,TCS
BLOCK,2026-07-31T10:15:00,True,DIVISLAB,"{""advisor_context"": {""as_of"": ""2026-07-31T10:15:00"", ""market_regime"": {""age_seconds"": null, ""as_of"": ""2026-07-31T10:15:00"", ""availability"": ""UNAVAILABLE"", ""buy_support"": 0.0, ""confidence"": 0.0, ""continuation_support"": 0.0, ""evidence"": [], ""hysteresis"": {""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}, ""metrics"": {}, ""reason_codes"": [""MARKET_REGIME_NOT_IMPLEMENTED""], ""reversal_support"": 0.0, ""sell_support"": 0.0, ""state"": ""UNKNOWN""}, ""market_regime_influence"": ""NONE"", ""stock_rank"": {""age_seconds"": 180.0, ""as_of"": ""2026-07-31T10:15:00"", ""attention_tier"": ""SUPPRESSED"", ""availability"": ""AVAILABLE"", ""classification"": ""RANGE_BOUND"", ""direction"": ""UP"", ""fresh"": true, ""movement_score"": 39.0374, ""quality_score"": 29.3089, ""range_penalty"": 75.3448, ""rank_position"": 59, ""rank_time"": ""2026-07-31T10:12:00"", ""reason_codes"": [""STOCK_RANK_AVAILABLE""], ""stall_penalty"": 84.8986, ""symbol"": ""DIVISLAB"", ""total_score"": 0.0, ""universe_size"": 80}, ""stock_rank_influence"": ""DIAGNOSTIC"", ""symbol"": ""DIVISLAB""}, ""barrier"": {""active"": false, ""barrier_price"": 7916.949791195742, ""barrier_type"": ""EMA_SLOW"", ""candidates"": [{""price"": 7795.0, ""type"": ""PDL""}, {""price"": 7843.141409414448, ""type"": ""EMA_REF""}, {""price"": 7870.5, ""type"": ""ORL""}, {""price"": 7870.5, ""type"": ""SESSION_LOW""}, {""price"": 7916.949791195742, ""type"": ""EMA_SLOW""}], ""distance_atr"": 2.6662038460786732, ""distance_pct"": 0.8522255329274595, ""distance_points"": 68.05020880425764, ""threshold_points"": 15.97}, ""candidate_family"": ""BREAKOUT_INITIATION"", ""candidate_side"": ""SELL"", ""candidate_subtype"": ""BALANCE_ESCAPE_INITIATION"", ""day_path"": {""close_first"": 8012.5, ""close_last"": 7985.0, ""containment_ratio"": 1.0, ""episode_age_bars"": 12, ""midpoint_crossings"": 4, ""path_efficiency"": 0.1864406779661017, ""range_width_pct"": 0.7539175675254681, ""sample_count"": 12, ""structure_flips"": 2, ""total_travel_points"": 147.5, ""total_travel_range_multiple"": 2.43801652892562, ""vwap_crossings"": 4}, ""deployment_scope"": ""NEW_SIGNAL_ONLY"", ""episode_history"": {""exhausted_objective_context"": false, ""exhaustion_facts"": [], ""prior_count_day"": 0, ""prior_count_same_episode"": 0, ""prior_opportunity_keys"": [], ""prior_opposite_side_same_episode"": 0, ""prior_same_side_same_episode"": 0}, ""matched_rules"": [{""configured_action"": ""BLOCK"", ""reason"": ""MATURE_NARROW_RANGE_CHURN""}], ""mature_range_churn"": {""facts"": [""MATURE_RANGE"", ""NARROW_RANGE"", ""HIGH_CONTAINMENT"", ""LOW_PATH_EFFICIENCY"", ""MIDPOINT_ROTATION"", ""VWAP_CROSSINGS""], ""matched"": true}, ""range_context"": {""authority"": ""AUCTION_SOURCE_EPISODE"", ""high"": 8055.0, ""inside_for_rule"": false, ""low"": 7994.5, ""observation_accepted_range_high"": 8048.0, ""observation_accepted_range_inside"": false, ""observation_accepted_range_low"": 8003.0, ""outside_for_side"": true, ""reference_price"": 7994.5, ""source_episode_id"": ""BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200"", ""source_event_id"": ""BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_STARTED:101500""}, ""source_episode_id"": ""BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200"", ""source_event_id"": ""BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_STARTED:101500""}","[""MATURE_NARROW_RANGE_CHURN""]",True,[],CAND:01cf0ee0a1f1000416280da1,284,"[""EVENT_DRIVEN_SETUP_SELECTED""]",,UNAVAILABLE,0.0,0.0,0.0,[],"{""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}",NONE,{},"[""MARKET_REGIME_NOT_IMPLEMENTED""]",0.0,0.0,UNKNOWN,ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,SELL,2026-07-31T10:15:00+05:30,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_STARTED:101500,BALANCE_ESCAPE_STARTED,180.0,SUPPRESSED,AVAILABLE,RANGE_BOUND,UP,True,DIAGNOSTIC,39.0374,59,29.3089,75.3448,2026-07-31T10:12:00,"[""STOCK_RANK_AVAILABLE""]",84.8986,0.0,80,PERMIT,DIVISLAB
,,False,,,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,289,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",,,,,,,,,,,,,,SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,SELL,2026-07-31T10:15:00+05:30,DIR:KALYANKJIL:2026-07-31:001:DOWN:094800,DIR:KALYANKJIL:2026-07-31:001:DOWN:094800:DIRECTIONAL_TREND_RESTORED:101500,DIRECTIONAL_TREND_RESTORED,,,,,,,,,,,,,,,,,PERMIT,KALYANKJIL
,,False,,,[],True,[],CAND:e17dada293351fc2489a61b9,298,"[""EVENT_DRIVEN_SETUP_SELECTED""]",,,,,,,,,,,,,,MANAGER_SUPPORTING,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""OUTSIDE_ACCEPTANCE_CONFIRMED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T10:18:00+05:30,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200,BAL:DIVISLAB:2026-07-31:001:NEUTRAL:094200:BALANCE_ESCAPE_ACCEPTED:101800,BALANCE_ESCAPE_ACCEPTED,,,,,,,,,,,,,,,,,PERMIT,DIVISLAB
ALLOW,2026-07-31T10:18:00,True,DIVISLAB,"{""advisor_context"": {""as_of"": ""2026-07-31T10:18:00"", ""market_regime"": {""age_seconds"": null, ""as_of"": ""2026-07-31T10:18:00"", ""availability"": ""UNAVAILABLE"", ""buy_support"": 0.0, ""confidence"": 0.0, ""continuation_support"": 0.0, ""evidence"": [], ""hysteresis"": {""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}, ""metrics"": {}, ""reason_codes"": [""MARKET_REGIME_NOT_IMPLEMENTED""], ""reversal_support"": 0.0, ""sell_support"": 0.0, ""state"": ""UNKNOWN""}, ""market_regime_influence"": ""NONE"", ""stock_rank"": {""age_seconds"": 0.0, ""as_of"": ""2026-07-31T10:18:00"", ""attention_tier"": ""SUPPRESSED"", ""availability"": ""AVAILABLE"", ""classification"": ""RANGE_BOUND"", ""direction"": ""DOWN"", ""fresh"": true, ""movement_score"": 66.1941, ""quality_score"": 48.614, ""range_penalty"": 70.0255, ""rank_position"": 26, ""rank_time"": ""2026-07-31T10:18:00"", ""reason_codes"": [""STOCK_RANK_AVAILABLE""], ""stall_penalty"": 45.0, ""symbol"": ""DIVISLAB"", ""total_score"": 14.6573, ""universe_size"": 80}, ""stock_rank_influence"": ""DIAGNOSTIC"", ""symbol"": ""DIVISLAB""}, ""barrier"": {""active"": false, ""barrier_price"": 7918.138904241371, ""barrier_type"": ""EMA_SLOW"", ""candidates"": [{""price"": 7795.0, ""type"": ""PDL""}, {""price"": 7844.473335688933, ""type"": ""EMA_REF""}, {""price"": 7870.5, ""type"": ""ORL""}, {""price"": 7870.5, ""type"": ""SESSION_LOW""}, {""price"": 7918.138904241371, ""type"": ""EMA_SLOW""}], ""distance_atr"": 2.355774137473903, ""distance_pct"": 0.7378851166933539, ""distance_points"": 58.861095758628835, ""threshold_points"": 15.954}, ""candidate_family"": ""REVERSAL"", ""candidate_side"": ""SELL"", ""candidate_subtype"": ""STRUCTURAL_REVERSAL"", ""day_path"": {""close_first"": 8021.0, ""close_last"": 7977.0, ""containment_ratio"": 1.0, ""episode_age_bars"": 14, ""midpoint_crossings"": 2, ""path_efficiency"": 0.2682926829268293, ""range_width_pct"": 0.5607127281789297, ""sample_count"": 14, ""structure_flips"": 2, ""total_travel_points"": 164.0, ""total_travel_range_multiple"": 3.6444444444444444, ""vwap_crossings"": 4}, ""deployment_scope"": ""NEW_SIGNAL_ONLY"", ""episode_history"": {""exhausted_objective_context"": false, ""exhaustion_facts"": [""DIRECTIONAL_LEG_MATURE""], ""prior_count_day"": 0, ""prior_count_same_episode"": 0, ""prior_opportunity_keys"": [], ""prior_opposite_side_same_episode"": 0, ""prior_same_side_same_episode"": 0}, ""matched_rules"": [], ""mature_range_churn"": {""facts"": [], ""matched"": false}, ""range_context"": {""authority"": ""CURRENT_AUCTION_OBSERVATION"", ""high"": 8048.0, ""inside_for_rule"": false, ""low"": 8003.0, ""observation_accepted_range_high"": 8048.0, ""observation_accepted_range_inside"": false, ""observation_accepted_range_low"": 8003.0, ""outside_for_side"": true, ""reference_price"": 8003.0, ""source_episode_id"": null, ""source_event_id"": null}, ""source_episode_id"": ""DIR:DIVISLAB:2026-07-31:002:DOWN:100600"", ""source_event_id"": ""DIR:DIVISLAB:2026-07-31:002:DOWN:100600:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:101800""}","[""ADVISOR_ALLOW""]",True,[],CAND:6644484c352c701feebfdf31,298,"[""EVENT_DRIVEN_SETUP_SELECTED""]",,UNAVAILABLE,0.0,0.0,0.0,[],"{""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}",NONE,{},"[""MARKET_REGIME_NOT_IMPLEMENTED""]",0.0,0.0,UNKNOWN,CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,SELL,2026-07-31T10:18:00+05:30,DIR:DIVISLAB:2026-07-31:002:DOWN:100600,DIR:DIVISLAB:2026-07-31:002:DOWN:100600:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:101800,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,0.0,SUPPRESSED,AVAILABLE,RANGE_BOUND,DOWN,True,DIAGNOSTIC,66.1941,26,48.614,70.0255,2026-07-31T10:18:00,"[""STOCK_RANK_AVAILABLE""]",45.0,14.6573,80,PERMIT,DIVISLAB
,,False,,,[],False,"[""STRUCTURAL_PERMISSION_BLOCK""]",,320,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",,,,,,,,,,,,,,STRUCTURAL_PERMISSION_BLOCKED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T10:21:00+05:30,DIR:POWERINDIA:2026-07-31:003:UP:100300,DIR:POWERINDIA:2026-07-31:003:UP:100300:DIRECTIONAL_REACCELERATION_CONFIRMED:102100,DIRECTIONAL_REACCELERATION_CONFIRMED,,,,,,,,,,,,,,,,,BLOCK,POWERINDIA
ALLOW,2026-07-31T10:24:00,True,COFORGE,"{""advisor_context"": {""as_of"": ""2026-07-31T10:24:00"", ""market_regime"": {""age_seconds"": null, ""as_of"": ""2026-07-31T10:24:00"", ""availability"": ""UNAVAILABLE"", ""buy_support"": 0.0, ""confidence"": 0.0, ""continuation_support"": 0.0, ""evidence"": [], ""hysteresis"": {""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}, ""metrics"": {}, ""reason_codes"": [""MARKET_REGIME_NOT_IMPLEMENTED""], ""reversal_support"": 0.0, ""sell_support"": 0.0, ""state"": ""UNKNOWN""}, ""market_regime_influence"": ""NONE"", ""stock_rank"": {""age_seconds"": 0.0, ""as_of"": ""2026-07-31T10:24:00"", ""attention_tier"": ""SUPPRESSED"", ""availability"": ""AVAILABLE"", ""classification"": ""DEVELOPING_DOWN"", ""direction"": ""DOWN"", ""fresh"": true, ""movement_score"": 59.6984, ""quality_score"": 45.6787, ""range_penalty"": 48.3598, ""rank_position"": 27, ""rank_time"": ""2026-07-31T10:24:00"", ""reason_codes"": [""STOCK_RANK_AVAILABLE""], ""stall_penalty"": 45.0, ""symbol"": ""COFORGE"", ""total_score"": 20.0626, ""universe_size"": 80}, ""stock_rank_influence"": ""DIAGNOSTIC"", ""symbol"": ""COFORGE""}, ""barrier"": {""active"": false, ""barrier_price"": 1701.7, ""barrier_type"": ""PDL"", ""candidates"": [{""price"": 1681.7, ""type"": ""ORL""}, {""price"": 1681.7, ""type"": ""SESSION_LOW""}, {""price"": 1701.7, ""type"": ""PDL""}], ""distance_atr"": 2.3258940913870347, ""distance_pct"": 0.9487776484284024, ""distance_points"": 16.299999999999955, ""threshold_points"": 3.4360000000000004}, ""candidate_family"": ""REVERSAL"", ""candidate_side"": ""SELL"", ""candidate_subtype"": ""STRUCTURAL_REVERSAL"", ""day_path"": {""close_first"": 1724.2, ""close_last"": 1718.0, ""containment_ratio"": 0.3333333333333333, ""episode_age_bars"": 4, ""midpoint_crossings"": 0, ""path_efficiency"": 0.7380952380952555, ""range_width_pct"": 0.4111056425696945, ""sample_count"": 4, ""structure_flips"": 0, ""total_travel_points"": 8.399999999999864, ""total_travel_range_multiple"": 1.1830985915492918, ""vwap_crossings"": 0}, ""deployment_scope"": ""NEW_SIGNAL_ONLY"", ""episode_history"": {""exhausted_objective_context"": false, ""exhaustion_facts"": [], ""prior_count_day"": 0, ""prior_count_same_episode"": 0, ""prior_opportunity_keys"": [], ""prior_opposite_side_same_episode"": 0, ""prior_same_side_same_episode"": 0}, ""matched_rules"": [], ""mature_range_churn"": {""facts"": [], ""matched"": false}, ""range_context"": {""authority"": ""CURRENT_AUCTION_OBSERVATION"", ""high"": 1730.6, ""inside_for_rule"": false, ""low"": 1723.5, ""observation_accepted_range_high"": 1730.6, ""observation_accepted_range_inside"": false, ""observation_accepted_range_low"": 1723.5, ""outside_for_side"": true, ""reference_price"": 1723.5, ""source_episode_id"": null, ""source_event_id"": null}, ""source_episode_id"": ""DIR:COFORGE:2026-07-31:002:DOWN:101500"", ""source_event_id"": ""DIR:COFORGE:2026-07-31:002:DOWN:101500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:102400""}","[""ADVISOR_ALLOW""]",True,[],CAND:995ee50ff305357125723e26,325,"[""EVENT_DRIVEN_SETUP_SELECTED""]",,UNAVAILABLE,0.0,0.0,0.0,[],"{""candidate_confirmations"": 0, ""candidate_since"": null, ""candidate_state"": null, ""required_confirmations"": 0, ""state_started_at"": null, ""transition_pending"": false}",NONE,{},"[""MARKET_REGIME_NOT_IMPLEMENTED""]",0.0,0.0,UNKNOWN,CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,SELL,2026-07-31T10:24:00+05:30,DIR:COFORGE:2026-07-31:002:DOWN:101500,DIR:COFORGE:2026-07-31:002:DOWN:101500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:102400,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,0.0,SUPPRESSED,AVAILABLE,DEVELOPING_DOWN,DOWN,True,DIAGNOSTIC,59.6984,27,45.6787,48.3598,2026-07-31T10:24:00,"[""STOCK_RANK_AVAILABLE""]",45.0,20.0626,80,PERMIT,COFORGE
