actionable_time,boundary_event_key,candidate_id,created_price,equity_ref,first_seen_time,last_eval_time,last_pnl,last_price,last_snapshot_time,lifecycle_trade_action,management_posture,max_pnl,min_pnl,opportunity_key,setup,should_exit_signal,side,signal_auction_action,signal_auction_state,signal_directional_alignment,signal_id,signal_reason,signal_stage,signal_status,stage,status,status_reason,symbol
2026-07-31T10:18:00,DIR:DIVISLAB:2026-07-31:002:DOWN:100600:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:101800,CAND:6644484c352c701feebfdf31,7977.0,DIVISLAB,2026-07-31T10:18:00,2026-07-31T12:39:00,-0.6205,8026.5,2026-07-31T12:39:00,FORCE_EXIT,EXIT,0.094,-0.6895,OPP:6644484c352c701feebfdf31,REVERSAL,True,SELL,EVENT_INVALIDATE,COMPLETED,ALIGNED,a73cb6c9-a388-53f1-92b2-41820e34edd3,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,FORCE_EXIT,INVALIDATED,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,DIVISLAB
2026-07-31T10:24:00,DIR:COFORGE:2026-07-31:002:DOWN:101500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:102400,CAND:995ee50ff305357125723e26,1718.0,COFORGE,2026-07-31T10:24:00,2026-07-31T13:21:00,0.3609,1711.8,2026-07-31T13:21:00,FORCE_EXIT,EXIT,0.3609,-0.4424,OPP:995ee50ff305357125723e26,REVERSAL,True,SELL,EVENT_REPLACE,NONE,UNKNOWN,2afed6e7-898c-5a79-8bf5-1d7891f21ccb,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,FORCE_EXIT,REPLACED,FORCE_EXIT,REPLACED,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,COFORGE
2026-07-31T10:33:00,DIR:CHOLAFIN:2026-07-31:002:DOWN:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,CAND:c91e30e559c61ae9e4a8e30d,1834.9,CHOLAFIN,2026-07-31T10:33:00,2026-07-31T11:48:00,-0.4959,1844.0,2026-07-31T11:48:00,FORCE_EXIT,EXIT,0.4196,-0.5068,OPP:c91e30e559c61ae9e4a8e30d,REVERSAL,True,SELL,EVENT_INVALIDATE,DIRECTIONAL,OPPOSED,aee40fe8-7759-5cec-902a-0db152fe528d,DIRECTIONAL_TREND_RESTORED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,FORCE_EXIT,INVALIDATED,DIRECTIONAL_TREND_RESTORED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,CHOLAFIN
2026-07-31T10:33:00,DIR:KALYANKJIL:2026-07-31:002:UP:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,CAND:158ac89230fbe44b1b3cdd63,625.9,KALYANKJIL,2026-07-31T10:33:00,2026-07-31T11:00:00,-0.1837,624.75,2026-07-31T11:00:00,FORCE_EXIT,EXIT,0.3355,-0.1837,OPP:158ac89230fbe44b1b3cdd63,REVERSAL,True,BUY,EVENT_INVALIDATE,COMPLETED,ALIGNED,0be5a943-6906-5924-af54-1d2dcca91257,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,FORCE_EXIT,INVALIDATED,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,KALYANKJIL
2026-07-31T10:36:00,BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_STARTED:103600,CAND:02506b9e9c36e94d0d5e2f0e,2369.4,TCS,2026-07-31T10:36:00,2026-07-31T10:39:00,-0.1266,2366.4,2026-07-31T10:39:00,FORCE_EXIT,EXIT,0.0,-0.1266,OPP:02506b9e9c36e94d0d5e2f0e,BREAKOUT_INITIATION,True,BUY,EVENT_INVALIDATE,NONE,UNKNOWN,8ea01a85-4efa-5849-ac33-c03e0b01cda8,BALANCE_ESCAPE_FAILED_INVALIDATED_SETUP,FORCE_EXIT,INVALIDATED,FORCE_EXIT,INVALIDATED,BALANCE_ESCAPE_FAILED_INVALIDATED_SETUP,TCS
2026-07-31T11:00:00,DIR:FORCEMOT:2026-07-31:002:UP:105400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110000,CAND:32b3a707960484f98d8399a7,18022.0,FORCEMOT,2026-07-31T11:00:00,2026-07-31T15:18:00,-0.7047,17895.0,2026-07-31T15:18:00,FORCE_EXIT,EXIT,1.7368,-0.7047,OPP:32b3a707960484f98d8399a7,REVERSAL,True,BUY,SESSION_CUTOFF,REVERSAL_WATCH,OPPOSED,76d65cfd-3f5f-5419-81f1-24a924660ce7,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,FORCEMOT
2026-07-31T11:03:00,DIR:TORNTPHARM:2026-07-31:002:UP:105700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110300,CAND:dcb490f7068f3aeab3ab074f,5024.7,TORNTPHARM,2026-07-31T11:03:00,2026-07-31T11:36:00,0.8836,5069.1,2026-07-31T11:36:00,FORCE_EXIT,EXIT,0.8836,0.0,OPP:dcb490f7068f3aeab3ab074f,REVERSAL,True,BUY,EVENT_INVALIDATE,DIRECTIONAL,ALIGNED,099dd7de-7081-52f9-9bd2-655c56b6256c,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,FORCE_EXIT,INVALIDATED,FORCE_EXIT,INVALIDATED,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,TORNTPHARM
2026-07-31T11:06:00,BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600:BALANCE_ESCAPE_STARTED:110600,CAND:6e00ceac84968df1df4d7495,5421.5,PERSISTENT,2026-07-31T11:06:00,2026-07-31T15:18:00,1.9884,5529.3,2026-07-31T15:18:00,FORCE_EXIT,EXIT,2.9125,0.0,OPP:6e00ceac84968df1df4d7495,BREAKOUT_INITIATION,True,BUY,SESSION_CUTOFF,NONE,UNKNOWN,cad8805e-c102-57a4-96c7-d70c9c07f5cc,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,PERSISTENT
2026-07-31T11:21:00,DIR:MANAPPURAM:2026-07-31:006:UP:111200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:112100,CAND:7316c4a2330c742a8803fe6c,370.4,MANAPPURAM,2026-07-31T11:21:00,2026-07-31T15:18:00,0.3105,371.55,2026-07-31T15:18:00,FORCE_EXIT,EXIT,1.5119,-0.4725,OPP:7316c4a2330c742a8803fe6c,REVERSAL,True,BUY,SESSION_CUTOFF,REVERSAL_LEG,OPPOSED,50c51811-b112-5f0f-9fcc-a1422ceea97c,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,MANAPPURAM
2026-07-31T11:27:00,BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100:BALANCE_ESCAPE_STARTED:112700,CAND:4a3872010c190995b2d63ff8,629.5,KALYANKJIL,2026-07-31T11:27:00,2026-07-31T15:18:00,-2.7006,612.5,2026-07-31T15:18:00,FORCE_EXIT,EXIT,0.2224,-2.7164,OPP:4a3872010c190995b2d63ff8,BREAKOUT_INITIATION,True,BUY,SESSION_CUTOFF,REVERSAL_WATCH,OPPOSED,fe205a27-ef8f-5bf7-9192-94593d799d94,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,KALYANKJIL
2026-07-31T11:30:00,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100:BALANCE_ESCAPE_FAILED:113000,CAND:dc1ab160fa1ee75a10189da6,32380.0,POWERINDIA,2026-07-31T11:30:00,2026-07-31T15:18:00,-0.664,32165.0,2026-07-31T15:18:00,FORCE_EXIT,EXIT,0.0926,-0.7566,OPP:dc1ab160fa1ee75a10189da6,FAILED_BREAKOUT,True,BUY,SESSION_CUTOFF,NONE,UNKNOWN,57fbc3b0-0822-51b7-8515-450ea6586841,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,POWERINDIA
2026-07-31T11:54:00,BAL:INDUSTOWER:2026-07-31:001:NEUTRAL:110900:BALANCE_ESCAPE_FAILED:115400,CAND:296c26607039b07e87c6f497,387.85,INDUSTOWER,2026-07-31T11:54:00,2026-07-31T15:18:00,-0.6704,390.45,2026-07-31T15:18:00,FORCE_EXIT,EXIT,0.0,-1.7146,OPP:296c26607039b07e87c6f497,FAILED_BREAKOUT,True,SELL,SESSION_CUTOFF,NONE,UNKNOWN,6c1d311c-b1e4-503d-9f2d-3a50df29da5d,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,INDUSTOWER
2026-07-31T13:15:00,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200:BALANCE_ESCAPE_FAILED:131500,CAND:ccb8d7c9ac57fbb14f47bb87,2232.7,GLENMARK,2026-07-31T13:15:00,2026-07-31T15:18:00,0.103,2235.0,2026-07-31T15:18:00,FORCE_EXIT,EXIT,0.6539,-0.4658,OPP:ccb8d7c9ac57fbb14f47bb87,FAILED_BREAKOUT,True,BUY,SESSION_CUTOFF,NONE,UNKNOWN,a4859555-9e57-5772-9c79-4a6b83478351,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,GLENMARK
2026-07-31T13:21:00,BAL:COFORGE:2026-07-31:003:NEUTRAL:105700:BALANCE_ESCAPE_STARTED:132100,CAND:0d32e3ad08ef9cc69fd0369f,1711.8,COFORGE,2026-07-31T13:21:00,2026-07-31T15:18:00,-0.5667,1721.5,2026-07-31T15:18:00,FORCE_EXIT,EXIT,0.2746,-0.5842,OPP:0d32e3ad08ef9cc69fd0369f,BREAKOUT_INITIATION,True,SELL,SESSION_CUTOFF,REVERSAL_WATCH,OPPOSED,b811de42-fbb9-5d26-a364-a9f98c91de7c,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,COFORGE
