boundary_event_key,candidate_id,entry_status_counts,executor_entry_updates,executor_exit_updates,exit_status_counts,index,lifecycle_trade_action,management_posture,monitor_error_count,monitor_updates,opportunity_key,selected_candidate_id,selected_opportunity_key,should_exit_signal,signal_action,signal_auction_action,signal_auction_state,signal_directional_alignment,signal_id,signal_reason,signal_stage,signal_status,snapshot_auction_action,snapshot_auction_state,snapshot_authoritative_event_ids,snapshot_balance_state,snapshot_permission_results,snapshot_time,symbol,trade_count,tradegen_attempted,tradegen_created_count,tradegen_error,tradegen_outcome
,,{},0,0,{},1,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,BHEL,0,False,0,,NO_SIGNAL
,,{},0,0,{},2,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,CHOLAFIN,0,False,0,,NO_SIGNAL
,,{},0,0,{},3,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,COFORGE,0,False,0,,NO_SIGNAL
,,{},0,0,{},4,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,DIVISLAB,0,False,0,,NO_SIGNAL
,,{},0,0,{},5,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,EXIDEIND,0,False,0,,NO_SIGNAL
,,{},0,0,{},6,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,FORCEMOT,0,False,0,,NO_SIGNAL
,,{},0,0,{},7,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,GLENMARK,0,False,0,,NO_SIGNAL
,,{},0,0,{},8,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,INDUSTOWER,0,False,0,,NO_SIGNAL
,,{},0,0,{},9,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,KALYANKJIL,0,False,0,,NO_SIGNAL
,,{},0,0,{},10,,,0,0,,,,,NO_ACTION,,,,,,,,NO_EVENT,NONE,[],NONE,[],2026-07-31T09:15:00+05:30,MANAPPURAM,0,False,0,,NO_SIGNAL
