auction_action,auction_state,current_profit_r,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_type,userid
,,0.3852708004138044,1735.5241731044764,1700.4838845970157,,2026-07-31T10:27:00,2026-07-31T10:27:00,FILLED,2026-07-31T10:24:00,COFORGE,1714.5,1711.8,1,VIRTUAL,2026-07-31T13:21:00,2026-07-31T13:21:00,2.7,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,2.7,2.7,1711.8,2026-07-31T13:21:00,FOLLOW_GROUP_REFERENCE_FUT_23:CREATE,,,,1725.6,0.3852708004138044,1711.8,1718.0,1,False,2afed6e7-898c-5a79-8bf5-1d7891f21ccb,,,TRADE_GENERATOR,COFORGE,22,AUCTION_ADAPTIVE_V2,2,EXIT,SELL,DR1812
EVENT_REPLACE,NONE,0.45661724493487926,1746.0241731044764,1710.9838845970157,UNKNOWN,2026-07-31T10:27:00,2026-07-31T10:27:00,FILLED,2026-07-31T10:24:00,COFORGE,1725.0,1721.8,475,VIRTUAL,2026-07-31T13:21:00,2026-07-31T13:21:00,1520.0,SIGNAL_LIFECYCLE_EXIT,exit_on_auction_signal_downstream_contract,FILLED,REFERENCE,FUT,3.2,1520.0,1721.8,2026-07-31T13:21:00,EXIT_AUCTION_SIGNAL_REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,FORCE_EXIT,EXIT,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,1731.3,0.9988502232950485,1718.0,1725.0,475,True,2afed6e7-898c-5a79-8bf5-1d7891f21ccb,FORCE_EXIT,REPLACED,TRADE_GENERATOR,COFORGE26AUGFUT,23,AUCTION_ADAPTIVE_V2,2,EXIT,SELL,DR1812
,,0.08561573342528987,50.36593508582135,65.25805770149213,,2026-07-31T10:27:00,2026-07-31T10:27:00,FILLED,2026-07-31T10:24:00,COFORGE,58.25,58.55,475,VIRTUAL,2026-07-31T13:21:00,2026-07-31T13:21:00,142.5,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,PE,0.3,142.5,58.55,2026-07-31T13:21:00,FOLLOW_GROUP_REFERENCE_FUT_23:CREATE,,,,61.0,0.7848108897318238,55.05,58.25,475,False,2afed6e7-898c-5a79-8bf5-1d7891f21ccb,,,TRADE_GENERATOR,COFORGE26AUG1720PE,24,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
,,-1.0390438121447718,618.6163725859892,634.2557516093406,,2026-07-31T10:36:00,2026-07-31T10:36:00,FILLED,2026-07-31T10:33:00,KALYANKJIL,628.0,624.75,3,VIRTUAL,2026-07-31T11:00:00,2026-07-31T11:00:00,-9.75,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,-3.25,-9.75,624.75,2026-07-31T11:00:00,FOLLOW_GROUP_REFERENCE_FUT_26:CREATE,,,,628.0,0.0,624.75,625.9,3,False,0be5a943-6906-5924-af54-1d2dcca91257,,,TRADE_GENERATOR,KALYANKJIL,25,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
EVENT_INVALIDATE,COMPLETED,0.6074409978692512,615.1663725859892,630.8057516093405,ALIGNED,2026-07-31T10:36:00,2026-07-31T10:36:00,FILLED,2026-07-31T10:33:00,KALYANKJIL,624.55,626.45,1350,VIRTUAL,2026-07-31T11:00:00,2026-07-31T11:00:00,2565.0,SIGNAL_LIFECYCLE_EXIT,exit_on_auction_signal_downstream_contract,FILLED,REFERENCE,FUT,1.9,2565.0,626.45,2026-07-31T11:00:00,EXIT_AUCTION_SIGNAL_DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,EXIT,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,626.95,0.7672938920453699,624.55,624.55,1350,True,0be5a943-6906-5924-af54-1d2dcca91257,FORCE_EXIT,INVALIDATED,TRADE_GENERATOR,KALYANKJIL26AUGFUT,26,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
,,0.0,189.48113971974593,196.12787580467028,,2026-07-31T10:36:00,2026-07-31T10:36:00,FILLED,2026-07-31T10:33:00,KALYANKJIL,193.0,193.0,1350,VIRTUAL,2026-07-31T11:00:00,2026-07-31T11:00:00,0.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,0.0,0.0,193.0,2026-07-31T11:00:00,FOLLOW_GROUP_REFERENCE_FUT_26:CREATE,,,,193.0,0.0,193.0,193.0,1350,False,0be5a943-6906-5924-af54-1d2dcca91257,,,TRADE_GENERATOR,KALYANKJIL26AUG440CE,27,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
,,3.610604910401057,18126.474641611374,18157.63285548183,,2026-07-31T11:03:00,2026-07-31T11:03:00,FILLED,2026-07-31T11:00:00,FORCEMOT,18033.0,18258.0,1,VIRTUAL,2026-07-31T12:36:00,2026-07-31T12:36:00,225.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,225.0,225.0,18258.0,2026-07-31T12:36:00,FOLLOW_GROUP_REFERENCE_FUT_29:GROUP_MFE_RATCHET_MFE_3.24R_STOP_+1.50R,,,,18258.0,3.610604910401057,17967.0,18022.0,1,False,76d65cfd-3f5f-5419-81f1-24a924660ce7,,,TRADE_GENERATOR,FORCEMOT,28,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
NO_CREATION_EVENT,NONE,3.2415208528933936,18229.474641611374,18260.63285548183,UNKNOWN,2026-07-31T11:03:00,2026-07-31T11:03:00,FILLED,2026-07-31T11:00:00,FORCEMOT,18136.0,18338.0,25,VIRTUAL,2026-07-31T12:36:00,2026-07-31T12:36:00,5050.0,ADAPTIVE_TARGET,exit_on_current_adaptive_target,FILLED,REFERENCE,FUT,202.0,5050.0,18338.0,2026-07-31T12:36:00,PROTECT_GROUP_REFERENCE_STAGE_TRANSITION_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_3.24R_STOP_+1.50R,HOLD_POSITION,CAUTION,NO_CURRENT_CREATION_EVENT,18338.0,3.2415208528933936,18063.0,18136.0,25,False,76d65cfd-3f5f-5419-81f1-24a924660ce7,TRANSITION,OPEN,TRADE_GENERATOR,FORCEMOT26AUGFUT,29,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,2.726407885676176,896.787320805687,912.3664277409149,,2026-07-31T11:03:00,2026-07-31T11:03:00,FILLED,2026-07-31T11:00:00,FORCEMOT,850.05,935.0,25,VIRTUAL,2026-07-31T12:36:00,2026-07-31T12:36:00,2123.75,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,CE,84.95,2123.75,935.0,2026-07-31T12:36:00,FOLLOW_GROUP_REFERENCE_FUT_29:GROUP_MFE_RATCHET_MFE_3.24R_STOP_+1.50R,,,,935.0,2.726407885676176,787.0,850.05,25,False,76d65cfd-3f5f-5419-81f1-24a924660ce7,,,TRADE_GENERATOR,FORCEMOT26AUG18000CE,30,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,2.5639113091483554,5027.8,5060.016403003206,,2026-07-31T11:06:00,2026-07-31T11:06:00,FILLED,2026-07-31T11:03:00,TORNTPHARM,5027.8,5069.1,1,VIRTUAL,2026-07-31T11:36:00,2026-07-31T11:36:00,41.3,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit,FILLED,FOLLOWER,EQ,41.3,41.3,5069.1,2026-07-31T11:36:00,FOLLOW_GROUP_REFERENCE_FUT_32:GROUP_MFE_RATCHET_MFE_1.92R_STOP_+0.00R,,,,5069.1,2.5639113091483554,5027.8,5024.7,1,False,099dd7de-7081-52f9-9bd2-655c56b6256c,,,TRADE_GENERATOR,TORNTPHARM,31,AUCTION_ADAPTIVE_V2,2,EXIT,BUY,DR1812
